quiz2,qq4,aa4,bb4,cc4,dd4,2
quiz2,qq5,aa5,bb5,cc5,dd5,2
quiz2,qq6,aa6,bb6,cc6,dd6,2
quiz2,qq7,aa7,bb7,cc7,dd7,2
quiz2,qq8,aa8,bb8,cc8,dd8,2
quiz2,qq9,aa9,bb9,cc9,dd9,2
quiz2,q1q0,a1a0,b1b0,cc10,dd10,2
quiz2,q1q1,a1a1,b1b1,cc11,dd11,2
quiz2,q1q2,a1a2,b1b2,cc12,dd12,2
quiz2,q1q3,a1a3,b1b3,cc13,dd13,2
quiz2,q1q4,a1a4,b1b4,cc14,dd14,2
quiz2,q1q5,a1a5,b1b5,cc15,dd15,2
quiz2,q1q6,a1a6,b1b6,cc16,dd16,2
quiz2,q1q7,a1a7,b1b7,cc17,dd17,2
quiz2,q1q8,a1a8,b1b8,cc18,dd18,2
quiz2,q1q9,a1a9,b1b9,cc19,dd19,2
quiz2,q2q0,a2a0,b2b0,cc20,dd20,2
quiz2,q2q1,a2a1,b2b1,cc21,dd21,2
quiz2,q2q2,a2a2,b2b2,cc22,dd22,2
quiz2,q2q3,a2a3,b2b3,cc23,dd23,2
